GISJOIN,target
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,"['SDG16_9', 'SDG3_6']"
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,"['SDG11_6', 'SDG12_5']"
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,"['SDG16_3', 'SDG9_b', 'SDG5_2']"
G06064000,"['SDG16_3', 'SDG5_2']"
G06064000,"['SDG1_3', 'SDG5_c']"
G06064000,['SDG5_2']
G06064000,['SDG11_1']
G06064000,['SDG5_2']
G06064000,"['SDG5_2', 'SDG16_2', 'SDG16_3', 'SDG5_1', 'SDG8_7', 'SDG16_1']"
G06064000,['SDG5_2']
G06064000,"['SDG5_2', 'SDG8_7']"
G06064000,['SDG5_2']
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,['SDG4_general']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_a', 'SDG4_general', 'SDG16_10', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG1_2', 'SDG1_3', 'SDG1_b']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,"['SDG2_1', 'SDG1_3']"
G06064000,['SDG1_3']
G06064000,"['SDG11_1', 'SDG3_8']"
G06064000,[]
G06064000,[]
G06064000,['SDG17_17']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,"['SDG1_2', 'SDG1_3', 'SDG1_b']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG11_1']
G06064000,['SDG11_1']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG3_c']
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG11_6']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG16_10']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_3']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG1_2', 'SDG1_b']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,"['SDG11_7', 'SDG4_general']"
G06064000,"['SDG4_6', 'SDG4_1', 'SDG10_7', 'SDG11_7']"
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG17_17']
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,['SDG17_19']
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,['SDG3_6']
G06064000,[]
G06064000,"['SDG14_a', 'SDG5_2', 'SDG15_3', 'SDG5_3', 'SDG3_5', 'SDG8_b', 'SDG3_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG5_a', 'SDG9_3', 'SDG4_7', 'SDG4_2', 'SDG10_b', 'SDG8_5', 'SDG17_19', 'SDG14_4', 'SDG3_8', 'SDG6_2', 'SDG10_1', 'SDG3_7', 'SDG11_3', 'SDG14_6', 'SDG1_1', 'SDG10_a', 'SDG16_10', 'SDG4_1', 'SDG11_6', 'SDG8_3', 'SDG17_18', 'SDG11_1', 'SDG1_2', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG16_9', 'SDG4_general', 'SDG3_general', 'SDG16_2', 'SDG5_5', 'SDG5_6', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG1_4']
G06064000,[]
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG4_general', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,['SDG13_general']
G06064000,"['SDG17_19', 'SDG16_9', 'SDG15_7', 'SDG10_1', 'SDG4_general', 'SDG16_10', 'SDG9_3', 'SDG11_6', 'SDG8_3', 'SDG3_6']"
G06064000,"['SDG14_1', 'SDG14_a', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG5_3', 'SDG11_5', 'SDG8_b', 'SDG11_b', 'SDG3_2', 'SDG13_b', 'SDG14_2', 'SDG3_4', 'SDG15_7', 'SDG4_a', 'SDG3_1', 'SDG8_9', 'SDG9_3', 'SDG8_7', 'SDG17_19', 'SDG3_8', 'SDG3_7', 'SDG4_1', 'SDG4_b', 'SDG10_a', 'SDG14_7', 'SDG11_6', 'SDG10_2', 'SDG13_1', 'SDG11_1', 'SDG1_2', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG16_9', 'SDG3_general', 'SDG13_general', 'SDG4_general', 'SDG15_5', 'SDG16_2', 'SDG1_a', 'SDG13_3', 'SDG3_6']"
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
G06064000,[]
